Date,511360.SH,511030.SH,159650.SZ,159649.SZ,511520.SH,511380.SH,159816.SZ,159972.SZ,511220.SH,511020.SH,511060.SH,511270.SH,511010.SH,511260.SH
2020/1/2,0.0000,0.3051,0.0000,0.0000,0.0000,0.0000,0.0000,"4,884.5032",215.3878,1.2216,"1,166.6556",36.6431,"4,255.0391",667.5862
2020/1/3,0.0000,25.8379,0.0000,0.0000,0.0000,0.0000,0.0000,"4,873.3474",408.1124,0.0000,905.9185,47.9802,"4,557.6568",160.3002
2020/1/6,0.0000,0.3054,0.0000,0.0000,0.0000,0.0000,0.0000,"9,443.7995",380.5611,7.2278,609.9031,9.4836,"11,304.5014",282.8773
2020/1/7,0.0000,12.2280,0.0000,0.0000,0.0000,0.0000,0.0000,"7,526.0284",339.1592,3.0585,683.1612,0.0000,"8,539.5779",120.4576
2020/1/8,0.0000,0.2036,0.0000,0.0000,0.0000,0.0000,0.0000,"6,699.7128",641.0611,0.1020,"1,229.6769",6.0552,"6,062.6304",358.8714
2020/1/9,0.0000,111.1541,0.0000,0.0000,0.0000,0.0000,0.0000,"7,932.9624",358.2322,3.0570,60.8677,6.3612,"14,919.7368","6,148.6024"
2020/1/10,0.0000,559.3179,0.0000,0.0000,0.0000,0.0000,0.0000,"4,910.3427",305.1546,"1,076.0443",21.6286,82.0938,"6,257.7473","25,707.8573"
2020/1/13,0.0000,43.8149,0.0000,0.0000,0.0000,0.0000,0.0000,"5,493.2195",478.2623,5.2152,"51,496.5890",0.2085,"5,903.3816",299.3092
2020/1/14,0.0000,0.3057,0.0000,0.0000,0.0000,0.0000,0.0000,"4,905.0972",251.7763,12.4684,72.1969,4.1663,"6,769.8480",392.6810
2020/1/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"7,051.2446",713.8936,2.1441,14.9189,33.9203,"5,469.4554",187.0950
2020/1/16,0.0000,0.1019,0.0000,0.0000,0.0000,0.0000,0.0000,"8,065.7831",346.8539,2.0421,20.8761,0.2077,"5,653.0970",168.8105
2020/1/17,0.0000,0.3057,0.0000,0.0000,0.0000,0.0000,0.0000,"5,188.6173",106.6048,20.4402,20.7845,16.6634,"6,310.9356",403.6728
2020/1/20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"5,942.2569",271.3164,42.9349,506.6546,106.0842,"5,882.1801",242.8151
2020/1/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"5,044.4264",411.2418,0.1025,20.5172,62.4750,"6,394.8319","1,352.7486"
2020/1/22,0.0000,1.2240,0.0000,0.0000,0.0000,0.0000,0.0000,"4,976.0010","1,414.7865",124.0252,20.8480,1.1477,"6,535.3703",398.2608
2020/1/23,0.0000,21.4412,0.0000,0.0000,0.0000,0.0000,0.0000,"3,690.8902",298.4460,70.9332,73.2319,191.8404,"4,716.5245",580.7253
2020/2/3,0.0000,26.6603,0.0000,0.0000,0.0000,0.0000,0.0000,326.2983,"1,399.5695",58.5226,41.7145,421.5652,"9,812.1861",549.0720
2020/2/4,0.0000,43.0504,0.0000,0.0000,0.0000,0.0000,0.0000,"3,238.8573",220.6260,52.1219,11.5543,16.0871,"6,287.9444",226.0567
2020/2/5,0.0000,24.6222,0.0000,0.0000,0.0000,0.0000,0.0000,"2,601.2723",515.9426,0.0000,0.0000,112.3835,"5,754.0415",152.9130
2020/2/6,0.0000,21.6487,0.0000,0.0000,0.0000,0.0000,0.0000,"2,579.7843",113.1127,1.1428,85.1098,"4,245.8427","5,730.1617",195.1096
2020/2/7,0.0000,66.8959,0.0000,0.0000,0.0000,0.0000,0.0000,"2,633.8658",371.2478,76.9173,19.8160,"15,057.2914","3,696.6794",286.4358
2020/2/10,0.0000,43.5661,0.0000,0.0000,0.0000,0.0000,0.0000,"2,605.1889",85.7921,7.5023,1.8395,43.8954,"2,819.8268",575.8436
2020/2/11,0.0000,3.0842,0.0000,0.0000,0.0000,0.0000,0.0000,"2,387.9671",179.5044,27.2072,3.8904,37.4396,"3,693.7700","1,395.1190"
2020/2/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"2,665.1508",178.7771,4.2702,10.8641,65.2212,"6,849.2256",532.0100
2020/2/13,0.0000,21.5672,0.0000,0.0000,0.0000,0.0000,0.0000,"1,956.2707",431.5998,0.0000,0.8186,31.0995,"7,008.1242",365.7023
2020/2/14,0.0000,36.0950,0.0000,0.0000,0.0000,0.0000,0.0000,"2,529.4625",713.3870,19.8836,0.2044,57.7335,"6,025.2204",223.4708
2020/2/17,0.0000,23.6672,0.0000,0.0000,0.0000,0.0000,0.0000,"1,981.2287",373.7644,28.4164,22.5075,20.3395,"6,619.8584",342.0918
2020/2/18,0.0000,51.5450,0.0000,0.0000,0.0000,0.0000,0.0000,"2,773.5175",328.8080,0.0000,63.0794,"3,869.3309","5,845.8977",527.4240
2020/2/19,0.0000,1.1351,0.0000,0.0000,0.0000,0.0000,0.0000,"3,196.9736",616.7373,11.4249,52.2250,114.9934,"6,386.3108",477.4009
2020/2/20,0.0000,2.0640,0.0000,0.0000,0.0000,0.0000,0.0000,"2,223.7296",264.6942,2.2849,52.4338,232.8344,"7,962.2285",328.7360
2020/2/21,0.0000,2.1652,0.0000,0.0000,0.0000,0.0000,0.0000,"2,641.0671",178.5424,11.5277,56.0091,294.1913,"6,614.6987",530.5149
2020/2/24,0.0000,4.2311,0.0000,0.0000,0.0000,0.0000,0.0000,"1,839.0880",420.9829,32.2161,32.9637,112.6635,"4,935.4089",417.4446
2020/2/25,0.0000,2.2726,0.0000,0.0000,0.0000,0.0000,0.0000,"2,186.4145",353.1187,1.0400,15.3582,205.1822,"6,153.9748",416.7955
2020/2/26,0.0000,8.2720,0.0000,0.0000,0.0000,0.0000,0.0000,"2,225.3828","1,171.3667",0.1041,102.7224,350.8698,"4,300.2630",361.2375
2020/2/27,0.0000,"1,112.1284",0.0000,0.0000,0.0000,0.0000,0.0000,"2,911.7840",345.5958,21.8936,116.6818,"2,360.7649","5,820.0273",437.3211
2020/2/28,0.0000,"1,380.1855",0.0000,0.0000,0.0000,0.0000,0.0000,"2,881.5830",220.1348,11.4950,53.2312,"4,589.7180","7,792.0821","1,123.2851"
