Date,511360.SH,511030.SH,159650.SZ,159649.SZ,511520.SH,511380.SH,159816.SZ,159972.SZ,511220.SH,511020.SH,511060.SH,511270.SH,511010.SH,511260.SH
2020/1/2,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/3,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/6,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/7,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/8,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/9,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/10,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/13,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/14,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/15,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/16,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/17,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/20,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/21,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/22,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/1/23,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/3,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/4,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/5,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/6,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/7,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/10,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/11,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/12,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/13,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
2020/2/14,0,52.49063875,0,0,0,0,0,41.82679099,18.34120167,11.43320532,110.3348152,7.605170224,4.760622697,24.92462649
