Date,511360.SH,511030.SH,159650.SZ,159649.SZ,511520.SH,511380.SH,159816.SZ,159972.SZ,511220.SH,511020.SH,511060.SH,511270.SH,511010.SH,511260.SH
2020/1/2,0,101.706,0,0,0,0,0,101.45,96.663,101.8,100.66,104.3,119.799,108.453
2020/1/3,0,101.904,0,0,0,0,0,101.38,96.519,101.8,100.7,104.4,119.438,108.48
2020/1/6,0,101.806,0,0,0,0,0,101.35,96.6,101.8,100.7,104.4,119.458,108.547
2020/1/7,0,101.9,0,0,0,0,0,101.49,96.98,102.049,100.402,104.398,119.391,108.549
2020/1/8,0,101.806,0,0,0,0,0,101.49,96.78,102,100.593,104.6,119.486,108.54
2020/1/9,0,101.905,0,0,0,0,0,101.59,96.889,101.9,100.8,104.3,119.581,108.625
2020/1/10,0,101.911,0,0,0,0,0,101.59,96.899,102.049,100.6,104.35,119.707,108.876
2020/1/13,0,101.895,0,0,0,0,0,101.59,96.95,102.299,100.9,104.25,119.745,108.888
2020/1/14,0,101.896,0,0,0,0,0,101.6,96.9,102.201,100.85,104.324,119.853,108.85
2020/1/15,0,101.896,0,0,0,0,0,101.7,96.919,102.101,100.805,104.05,119.915,108.87
2020/1/16,0,101.948,0,0,0,0,0,101.7,96.966,102.105,100.978,103.85,119.885,108.81
2020/1/17,0,101.895,0,0,0,0,0,101.7,96.949,102.201,100.999,104.15,119.835,108.844
2020/1/20,0,101.895,0,0,0,0,0,101.75,96.938,102.251,101.25,104.1,119.838,108.947
2020/1/21,0,101.895,0,0,0,0,0,101.749,96.899,102.451,101.119,104.15,120.38,109.4
2020/1/22,0,102.001,0,0,0,0,0,101.75,97.6,102.501,101.208,104.35,120.602,109.74
2020/1/23,0,102.101,0,0,0,0,0,101.7,97.266,102.901,101.45,105.37,120.929,109.76
2020/2/3,0,102.601,0,0,0,0,0,102.75,97.446,104.601,102.55,107.5,126.818,111.501
2020/2/4,0,102.501,0,0,0,0,0,102.45,97.58,104.301,102.25,107.49,122.715,110.994
2020/2/5,0,102.601,0,0,0,0,0,102.85,97.468,104.2,102.25,107.1,121.696,110.879
2020/2/6,0,102.601,0,0,0,0,0,102.85,97.5,103.901,101.81,106.95,121.525,110.977
2020/2/7,0,102.601,0,0,0,0,0,102.802,97.435,104,102.15,107,121.49,111.115
2020/2/10,0,102.801,0,0,0,0,0,102.81,97.515,104.201,102.23,107.1,121.57,111.245
2020/2/11,0,102.805,0,0,0,0,0,103.05,97.886,104.254,102.45,107.08,121.7,113.579
2020/2/12,0,102.805,0,0,0,0,0,103.08,97.75,104.154,102.5,106.967,121.665,111.385
2020/2/13,0,102.701,0,0,0,0,0,103.08,97.7,104.08,102.35,106.9,121.484,111.25
2020/2/14,0,102.901,0,0,0,0,0,103.09,97.75,104.124,102.3,107.05,121.385,111.183
2020/2/17,0,102.901,0,0,0,0,0,103.08,97.9,104.124,102.448,107.05,121.343,111.122
2020/2/18,0,103.101,0,0,0,0,0,103.055,98.04,104,102.402,107.25,121.166,111.002
2020/2/19,0,103.2,0,0,0,0,0,103.085,98.15,103.954,102.402,107.27,121.2,110.829
2020/2/20,0,103.2,0,0,0,0,0,103.088,98.15,103.904,102.41,107.55,121.19,110.787
2020/2/21,0,103.105,0,0,0,0,0,103.085,98.06,103.854,102.4,107.3,121.16,110.888
2020/2/24,0,103.2,0,0,0,0,0,103.086,98.09,103.955,102.4,107.3,121.376,111.15
2020/2/25,0,103.3,0,0,0,0,0,103.15,98.1,104,102.4,107.7,121.869,111.245
2020/2/26,0,103.4,0,0,0,0,0,103.185,98.13,104.055,102.4,107.31,121.351,111.238
2020/2/27,0,103.703,0,0,0,0,0,103.193,98.28,104.255,102.37,107.31,121.481,111.39
2020/2/28,0,103.904,0,0,0,0,0,103.15,98.313,104.5,102.37,107.65,122.389,112.499
2020/3/2,0,103.894,0,0,0,0,0,103.18,98.465,104.6,103.13,107.68,121.988,111.899
2020/3/3,0,103.894,0,0,0,0,0,103.195,98.888,104.6,102.354,107.55,121.773,111.71
2020/3/4,0,104.2,0,0,0,0,0,103.218,99.2,104.711,102.05,108,122,111.923
2020/3/5,0,103.88,0,0,0,0,0,103.195,99.4,104.911,102.1,107.8,122.1,112.198
2020/3/6,0,103.876,0,0,0,0,0,103.215,99.5,105.1,101.95,107.53,122.215,112.56
2020/3/9,0,103.894,0,0,0,0,0,103.29,99.5,105.598,102.2,108.03,123.333,114.51
2020/3/10,0,103.794,0,0,0,0,0,103.8,99.298,105.8,102,108,123.25,113.9
2020/3/11,0,103.694,0,0,0,0,0,103.75,98.951,105.8,102.1,107.795,122.654,113.1
2020/3/12,0,103.487,0,0,0,0,0,105.285,98.999,105.6,102.335,107.954,123,113.6
2020/3/13,0,103.294,0,0,0,0,0,104.149,99,105.45,102.45,107.95,122.999,113.6
2020/3/16,0,103.487,0,0,0,0,0,104.151,98.95,105,102.5,107.9,122.9,112.79
2020/3/17,0,103.39,0,0,0,0,0,103.818,98.724,104.901,102.34,107.8,122.064,112.389
2020/3/18,0,103.394,0,0,0,0,0,103.7,98.377,104.703,102.34,107.8,121.795,112.099
2020/3/19,0,103.194,0,0,0,0,0,103.303,98.303,104.601,102.4,107.7,121.932,112.077
2020/3/20,0,103.241,0,0,0,0,0,103.152,99.19,104.5,102.37,107.64,121.724,111.77
2020/3/23,0,103.26,0,0,0,0,0,103.35,98,105.401,102.58,108.1,122.306,112.4
