Date,511360.SH,511030.SH,159650.SZ,159649.SZ,511520.SH,511380.SH,159816.SZ,159972.SZ,511220.SH,511020.SH,511060.SH,511270.SH,511010.SH,511260.SH
2020/1/2,0.0000,101.7060,0.0000,0.0000,0.0000,0.0000,0.0000,101.2000,96.3010,101.8000,100.3900,103.9500,119.3250,108.3500
2020/1/3,0.0000,101.7060,0.0000,0.0000,0.0000,0.0000,0.0000,101.3000,96.3620,101.8000,100.3500,104.3000,119.2510,108.2700
2020/1/6,0.0000,101.8060,0.0000,0.0000,0.0000,0.0000,0.0000,101.3000,96.3600,101.8000,100.4000,104.1100,119.2300,108.2860
2020/1/7,0.0000,101.8990,0.0000,0.0000,0.0000,0.0000,0.0000,101.3000,96.4000,101.9000,100.3300,104.3980,119.3060,108.3680
2020/1/8,0.0000,101.8060,0.0000,0.0000,0.0000,0.0000,0.0000,101.4000,96.4280,102.0000,100.2900,104.2000,119.3470,108.3520
2020/1/9,0.0000,101.7050,0.0000,0.0000,0.0000,0.0000,0.0000,101.4500,96.6930,101.9000,100.4900,104.2000,119.3640,108.3880
2020/1/10,0.0000,101.8010,0.0000,0.0000,0.0000,0.0000,0.0000,101.5500,96.8590,101.8600,100.4580,104.2500,119.4600,108.4570
2020/1/13,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.5000,96.7050,102.2000,100.6000,104.2500,119.6500,108.8020
2020/1/14,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.5500,96.6370,102.2000,100.5830,104.0510,119.6000,108.7370
2020/1/15,0.0000,101.8960,0.0000,0.0000,0.0000,0.0000,0.0000,101.5800,96.7000,102.1010,100.8000,104.0500,119.6990,108.7410
2020/1/16,0.0000,101.9480,0.0000,0.0000,0.0000,0.0000,0.0000,101.6700,96.7620,102.1050,100.8500,103.8500,119.6170,108.7310
2020/1/17,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.6510,96.8130,102.2010,100.7500,104.0900,119.6280,108.7500
2020/1/20,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.6510,96.8350,102.2010,101.0110,103.9190,119.7120,108.7880
2020/1/21,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.6500,96.2400,102.4510,101.0690,104.1000,119.8250,108.9410
2020/1/22,0.0000,102.0010,0.0000,0.0000,0.0000,0.0000,0.0000,101.6700,96.6100,102.5000,101.0080,104.1500,120.0010,109.0400
2020/1/23,0.0000,102.1010,0.0000,0.0000,0.0000,0.0000,0.0000,101.6500,96.8010,102.7010,101.4000,104.3600,120.1010,109.3800
