Date,511360.SH,511030.SH,159650.SZ,159649.SZ,511520.SH,511380.SH,159816.SZ,159972.SZ,511220.SH,511020.SH,511060.SH,511270.SH,511010.SH,511260.SH
2020/1/2,0.0000,101.7060,0.0000,0.0000,0.0000,0.0000,0.0000,101.2000,96.5390,101.8000,100.5060,103.9500,119.6010,108.3520
2020/1/3,0.0000,101.7060,0.0000,0.0000,0.0000,0.0000,0.0000,101.3800,96.3620,101.8000,100.3900,104.3000,119.3810,108.3010
2020/1/6,0.0000,101.8060,0.0000,0.0000,0.0000,0.0000,0.0000,101.3500,96.5020,101.8000,100.4000,104.3000,119.2700,108.4080
2020/1/7,0.0000,101.8990,0.0000,0.0000,0.0000,0.0000,0.0000,101.3500,96.9800,101.9000,100.4010,104.3980,119.3800,108.5490
2020/1/8,0.0000,101.8060,0.0000,0.0000,0.0000,0.0000,0.0000,101.4000,96.5020,102.0000,100.4000,104.4000,119.3500,108.4340
2020/1/9,0.0000,101.9050,0.0000,0.0000,0.0000,0.0000,0.0000,101.4500,96.6930,101.9000,100.4900,104.2000,119.4300,108.4380
2020/1/10,0.0000,101.8010,0.0000,0.0000,0.0000,0.0000,0.0000,101.5500,96.8990,101.9900,100.4580,104.2500,119.5240,108.5090
2020/1/13,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.5000,96.7050,102.2000,100.7000,104.2500,119.6990,108.8640
2020/1/14,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.5500,96.8010,102.2000,100.5830,104.2000,119.6500,108.8310
2020/1/15,0.0000,101.8960,0.0000,0.0000,0.0000,0.0000,0.0000,101.5800,96.7030,102.1010,100.8000,104.0500,119.7050,108.7410
2020/1/16,0.0000,101.9480,0.0000,0.0000,0.0000,0.0000,0.0000,101.6800,96.9660,102.1050,100.9780,103.8500,119.8850,108.7310
2020/1/17,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.7000,96.8130,102.2010,100.7500,104.0900,119.6280,108.7500
2020/1/20,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.7000,96.8520,102.2010,101.0110,104.0000,119.7120,108.8350
2020/1/21,0.0000,101.8950,0.0000,0.0000,0.0000,0.0000,0.0000,101.6800,96.2400,102.4510,101.0690,104.1000,119.8380,108.9470
2020/1/22,0.0000,102.0010,0.0000,0.0000,0.0000,0.0000,0.0000,101.6800,97.1990,102.5000,101.0080,104.1500,120.0300,109.2500
2020/1/23,0.0000,102.1010,0.0000,0.0000,0.0000,0.0000,0.0000,101.6500,96.8010,102.7010,101.4000,104.3600,120.1010,109.3800
2020/2/3,0.0000,102.5010,0.0000,0.0000,0.0000,0.0000,0.0000,101.7000,96.9000,104.6010,102.5500,105.9000,120.8150,110.0030
2020/2/4,0.0000,102.5010,0.0000,0.0000,0.0000,0.0000,0.0000,102.4500,97.0050,104.3010,102.2500,107.4900,122.7060,110.7300
2020/2/5,0.0000,102.5010,0.0000,0.0000,0.0000,0.0000,0.0000,102.4200,97.3000,104.2000,102.2500,106.8500,121.3830,110.8400
2020/2/6,0.0000,102.5030,0.0000,0.0000,0.0000,0.0000,0.0000,102.8010,97.3670,103.9010,101.8100,106.8000,121.5250,110.6880
2020/2/7,0.0000,102.6010,0.0000,0.0000,0.0000,0.0000,0.0000,102.8010,97.2600,103.9010,101.8000,107.0000,121.1780,110.8700
2020/2/10,0.0000,102.6010,0.0000,0.0000,0.0000,0.0000,0.0000,102.8010,97.5150,104.2010,102.1500,106.9800,121.3900,111.0300
2020/2/11,0.0000,102.8050,0.0000,0.0000,0.0000,0.0000,0.0000,103.0500,97.8860,104.2540,102.0000,106.9660,121.5190,111.2500
2020/2/12,0.0000,102.8050,0.0000,0.0000,0.0000,0.0000,0.0000,103.0000,97.6800,104.1540,102.3150,106.8970,121.6650,111.2540
2020/2/13,0.0000,102.7010,0.0000,0.0000,0.0000,0.0000,0.0000,103.0000,97.7000,104.0800,102.3000,106.9000,121.4730,111.2500
