Date,511360.SH,511030.SH,159650.SZ,159649.SZ,511520.SH,511380.SH,159816.SZ,159972.SZ,511220.SH,511020.SH,511060.SH,511270.SH,511010.SH,511260.SH
2020/1/2,0.0000,-0.1002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0031,-0.0981,-0.1164,0.2885,-0.3955,-0.1097
2020/1/3,0.0000,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0494,-0.0290,0.0000,-0.0349,0.0000,-0.0930,0.0074
2020/1/6,0.0000,0.0786,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0493,0.1016,0.0000,0.1445,0.0940,0.1048,0.1301
2020/1/7,0.0000,0.0923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0987,0.1035,0.2446,-0.1473,0.0000,-0.0461,-0.0608
2020/1/8,0.0000,-0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0888,0.0010,-0.0480,0.1375,-0.1897,0.1115,0.0037
2020/1/9,0.0000,-0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0099,0.1541,-0.0980,0.3085,0.0960,0.0879,0.0194
2020/1/10,0.0000,0.0933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0887,0.0413,0.1227,-0.1984,-0.0479,0.1020,0.3826
2020/1/13,0.0000,-0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0374,0.0464,0.2686,0.1243,0.0000,0.0025,-0.0395
2020/1/14,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0473,-0.1403,-0.0968,0.0745,-0.1909,0.0752,-0.0827
2020/1/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0787,0.1033,-0.0969,0.0050,-0.0010,0.0426,0.0331
2020/1/16,0.0000,0.0510,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0098,0.0310,0.0039,0.0446,-0.1922,-0.1602,-0.0248
2020/1/17,0.0000,-0.0520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0295,-0.0144,0.0940,0.0456,0.2889,0.0936,0.0782
2020/1/20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0482,-0.0268,0.0489,0.2864,-0.2007,0.0451,0.1029
2020/1/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0482,0.0103,0.1956,-0.0652,0.2011,0.4724,0.2322
2020/1/22,0.0000,0.1040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0488,0.0870,0.1920,-0.2318,0.1190
2020/1/23,0.0000,0.0980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1507,0.3902,0.2391,0.9775,0.5812,0.3046
2020/2/3,0.0000,0.4897,0.0000,0.0000,0.0000,0.0000,0.0000,0.6893,0.4060,1.5539,0.8388,1.7462,1.4884,1.1599
2020/2/4,0.0000,-0.0975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0441,-0.2871,-0.0489,0.0000,-1.0286,-0.0811
2020/2/5,0.0000,0.0976,0.0000,0.0000,0.0000,0.0000,0.0000,0.3896,0.0133,0.0000,0.0000,-0.1026,0.1558,0.0253
2020/2/6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0486,0.0072,-0.3829,-0.4401,-0.2801,-0.2880,0.0018
2020/2/7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0467,0.0021,0.1917,0.3438,0.1873,0.1576,0.1398
2020/2/10,0.0000,0.0975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0831,0.1221,0.0000,0.0925,0.1673,0.1729
2020/2/11,0.0000,0.1013,0.0000,0.0000,0.0000,0.0000,0.0000,0.1916,0.1015,0.1220,0.0059,-0.0177,0.0600,0.0737
2020/2/12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0204,0.1035,-0.1669,0.2056,-0.1055,-0.0987,-0.0027
2020/2/13,0.0000,-0.1012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0466,-0.0205,0.0000,-0.0449,-0.1000,-0.1440,-0.1006
2020/2/14,0.0000,0.1947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.0665,0.0423,-0.0195,0.1778,-0.0033,-0.0108
2020/2/17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1896,0.1177,-0.1191,0.1320,0.0000,-0.1459,-0.1628
2020/2/18,0.0000,0.1934,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0475,0.0010,0.0000,-0.0332,0.1868,-0.0190,-0.1946
2020/2/19,0.0000,0.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0816,0.0358,-0.1404,0.0010,0.0186,0.0215,-0.0235
2020/2/20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0136,0.1532,0.0481,-0.0205,0.0177,-0.1197,-0.1390
2020/2/21,0.0000,-0.0921,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,0.0143,-0.1434,0.0186,0.0103,0.0983,0.1908
2020/2/24,0.0000,0.0921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0155,0.0306,0.1928,0.0000,0.0000,0.1874,0.2085
2020/2/25,0.0000,0.0969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0136,0.0041,0.0433,-0.0439,-0.0093,-0.0569,0.0072
2020/2/26,0.0000,0.0968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0824,0.0367,0.0529,0.0440,0.0186,0.0115,0.0819
2020/2/27,0.0000,0.2930,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0330,0.1080,0.1922,-0.0293,0.0000,0.1014,0.1871
2020/2/28,0.0000,0.0116,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,0.0763,0.2350,-0.0586,0.3168,0.4331,0.3152
2020/3/2,0.0000,0.1687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,0.1566,0.0115,0.1759,-0.0650,-0.1763,0.0090
2020/3/3,0.0000,-0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0155,0.3808,-0.0010,-0.2634,-0.0279,0.0181,-0.0081
2020/3/4,0.0000,-0.0539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0378,0.3541,0.1914,0.0560,0.4063,0.1470,0.1790
2020/3/5,0.0000,0.0780,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0465,0.1210,0.1805,-0.0010,-0.0717,0.0213,0.1957
